,Place,Description,Date,Copy,Page,Citation,Remarks,RecordType,
,Toogong,"Police Buildings. Proposed repairs etc. to police buildings; Plan, elevations and sections",1885,-,-,4335 [Plan 861],Colonial Architect Plan No. PC465/01. Signature of architect (Roberts) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Toogong,"Police Buildings. Plan, elevations and sections",-,-,-,4335 [Plan 862],Colonial Architect Plan No. PC465/02,"Appendix B: Architectural Plans, 1848-1967",
,Toogong,Police Station,1862-66,-,-,4332 [2/620],-,"Appendix A: Correspondence, c.1837-96",
,Torrowangee,Police Buildings. Police station (existing building).  Plan and elevations,June 1932,-,-,4335 [Plan 1999],Colonial Architect Plan No.,"Appendix B: Architectural B32/2106Plans, 1848-1967",
,Torrowangee,Police Buildings. Police station (existing building).  Tracing of plan 1985,June 1932,-,-,4335 [Plan 2000],Colonial Architect Plan No. B32/2106 B107,"Appendix B: Architectural Plans, 1848-1967",
,Torrowangee,Police Buildings. Plan of old buildings removed to Campbells Creek Bore,June 1932,-,-,4335 [Plan 2001],Colonial Architect Plan No.,"Appendix B: Architectural Plans, 1848-1967",
,Torrowangee,Police Buildings. Plan of old buildings removed to Eldee Creek Bore,June 1932,-,-,4335 [Plan 2002],Colonial Architect Plan No.,"Appendix B: Architectural Plans, 1848-1967",
,Tresco,"Naval Residence. Ground floor and first floor plans of residence of Captain Charge H.M. Naval Yards, Sydney",June 1903,-,-,4335 [Plan 2003],Colonial Architect Plan No. Signature of architect (W.L. Vernon) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Trial Bay,Prison. Proposed doors for Cells in New Wing,n.d.,-,-,4335 [Plan 2004],Colonial Architect Plan No.,"Appendix B: Architectural Plans, 1848-1967",
,Trunkey Creek,"Court House and Watch House. Plans, elevations and section of proposed addition",1883,-,-,4335 [Plan 874],Colonial Architect Plan No. PC495/01,"Appendix B: Architectural Plans, 1848-1967",
,Trunkey Creek,"Court House and Watch House. Proposed Plans, sections and elevations",1878,-,-,4335 [Plan 876],Colonial Architect Plan No. PC495/03,"Appendix B: Architectural Plans, 1848-1967",
,Trunkey Creek,"Lock-up. Plan, elevation and section of proposed additions",1890,-,-,4335 [Plan 875],Colonial Architect Plan No. PC495/02. Signature of architect (Roberts) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Tuena,"Court House and Lock-up. Plan, elevation and section of additions and repairs",1888,-,-,4335 [Plan 877],Colonial Architect Plan No. PC496/4,"Appendix B: Architectural Plans, 1848-1967",
,Tuena,Court House and Lock-up,1859-63,-,-,4332 [2/628],-,"Appendix A: Correspondence, c.1837-96",
,Tuena,Police Office,1860-64,-,-,4332 [2/628],-,"Appendix A: Correspondence, c.1837-96",
,Tumbarumba,Court House and Lock-up,"1863, 1866",-,-,4332 [2/628],-,"Appendix A: Correspondence, c.1837-96",
,Tumut,Court House,"1854, 1857-65",-,-,4332 [2/626],-,"Appendix A: Correspondence, c.1837-96",
,Tumut,Police Barracks,"1863, 1865",-,-,4332 [2/628],-,"Appendix A: Correspondence, c.1837-96",
,Tumut,Police Paddock,1862,-,-,4332 [2/626],-,"Appendix A: Correspondence, c.1837-96",
,Tumut,Police Station,"1849, 1862-63",-,-,4332 [2/626],-,"Appendix A: Correspondence, c.1837-96",
,Tumut,Post and Telegraph Office,"1860-61, 1879",-,-,4332 [2/626],-,"Appendix A: Correspondence, c.1837-96",
,Uki on the Tweed,War Memorial,1926,-,100,18195 [9/5878],-,"Appendix F: Plans, elevations of war memorials, 1921-26",
,Ulladulla,Court and Watch House,1860-62,-,-,4332 [2/628],-,"Appendix A: Correspondence, c.1837-96",
,Ulmarra,"Lock-up. Plans, elevations and sections",1878,-,-,4335 [Plan 880],Colonial Architect Plan No. PC507/7,"Appendix B: Architectural Plans, 1848-1967",
,Upper Castlereagh,School and Teacher’s Residence,1877,-,-,4338 [X18],-,"Appendix D: Plans and specifications of schools and school residences, 1861-1910",
,Uralla,"Soldiers’ Memorial Gates, Hampden Park",1922,-,67-8,18195 [9/5878],-,"Appendix F: Plans, elevations of war memorials, 1921-26",
,Uralla,"Court House. Plans, elevations and sections",1882,-,-,4335 [Plan 878],Colonial Architect Plan No. PC506/6,"Appendix B: Architectural Plans, 1848-1967",
,Uralla,"Lock-up. Plans, elevations and sections",1888,-,-,4335 [Plan 879],Colonial Architect Plan No. PC506/7,"Appendix B: Architectural Plans, 1848-1967",
,Uralla (Rocky River),Court and Watch House,1857-64,-,-,4332 [2/628],-,"Appendix A: Correspondence, c.1837-96",
,Uralla (Rocky River),Police Hut,1860,-,-,4332 [2/628],-,"Appendix A: Correspondence, c.1837-96",
,Urana,Lock-up,1863-65,-,-,4332 [2/628],-,"Appendix A: Correspondence, c.1837-96",
,Urana,Police Buildings,1865,-,-,4332 [2/628],-,"Appendix A: Correspondence, c.1837-96",
,Urana,Telegraph Station,1862-63,-,-,4332 [2/628],-,"Appendix A: Correspondence, c.1837-96",
,Vaucluse,Lady Edeline Hospital for babies,-,-,126,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Victoria,Seals. Victorian Government,1848,-,-,4332 [2/8152],-,"Appendix A: Correspondence, c.1837-96",
,Wagga Wagga,Soldiers’ Memorial,c.1921,-,"10-1, 44, 97",18195 [9/5878],-,"Appendix F: Plans, elevations of war memorials, 1921-26",
,Wagga Wagga,Court House,1860-63,-,-,4332 [2/627],-,"Appendix A: Correspondence, c.1837-96",
,Wagga Wagga,Gaol,1863-66,-,-,4332 [2/630B],-,"Appendix A: Correspondence, c.1837-96",
,Wagga Wagga,Police Office,1849,-,-,4332 [2/630B],-,"Appendix A: Correspondence, c.1837-96",
,Wagga Wagga,Post Office,-,-,86,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Wagga Wagga,Telegraph Station,1860-64,-,-,4332 [2/630B],-,"Appendix A: Correspondence, c.1837-96",
,Wagga Wagga,Court House,-,-,117,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Wagga Wagga,Watch and Court House,"1853-57, 1860-65",-,-,4332 [2/630B],-,"Appendix A: Correspondence, c.1837-96",
,Walcha,"Court and Watch House. Proposed addition.  Plan, elevations and sections",1879,-,-,4335 [Plan 881],Colonial Architect Plan No. PC515/9,"Appendix B: Architectural Plans, 1848-1967",
,Walcha,"Court and Watch House. Proposed additions.  Plans, elevations and sections of stable, closets etc.",1889,-,-,4335 [Plan 882],Colonial Architect Plan No. PC515/10,"Appendix B: Architectural Plans, 1848-1967",
,Walcha,Court and Watch House,1861-61,-,-,4332 [2/629],-,"Appendix A: Correspondence, c.1837-96",
,Walcha,Police Buildings,1865-66,-,-,4332 [2/629],-,"Appendix A: Correspondence, c.1837-96",
,Walgett,Court and Watch House,1861-66,-,-,4332 [2/629],-,"Appendix A: Correspondence, c.1837-96",
,Walgett,Police Buildings,1865-66,-,-,4332 [2/629],-,"Appendix A: Correspondence, c.1837-96",
,Walgett,Police Station,1862-66,-,-,4332 [2/616],-,"Appendix A: Correspondence, c.1837-96",
,Walgett,Gaol. Ground plan,1880,-,-,4335 [Plan 883],Colonial Architect Plan No. PC517/2,"Appendix B: Architectural Plans, 1848-1967",
,Wallabadah,Escort Stations,1854,-,-,4332 [2/628],-,"Appendix A: Correspondence, c.1837-96",
,Wallis’ Creek,Bridge,1850-52,-,-,4332 [2/649],-,"Appendix A: Correspondence, c.1837-96",
,Wallsend,Police Station and Police Buildings,1883,-,-,4332 [2/8165],"(In Newcastle, Clerk of Works, Correspondence)","Appendix A: Correspondence, c.1837-96",
,Wallsend,"Court and Watch House. Proposed plans, elevations, elevations and sections",1876,-,-,4335 [Plan 884],Colonial Architect Plan No. PC522/3. Signature of architect (Barnet) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Waratah,Court House and Watch House,"1878, 1882-83",-,-,4332 [2/8165],"(In Newcastle, Clerk of Works, Correspondence)","Appendix A: Correspondence, c.1837-96",
,Waratah,Lock-up,"1881, 1883, 1889",-,-,4332 [2/8165],"(In Newcastle, Clerk of Works, Correspondence)","Appendix A: Correspondence, c.1837-96",
,Waratah,Post and Telegraph Office,"1880-81, 1888-89, 1890",-,-,4332 [2/8165],"(In Newcastle, Clerk of Works, Correspondence)","Appendix A: Correspondence, c.1837-96",
,Waratah,War Memorial Gates,1920,-,28,18195 [9/5878],-,"Appendix F: Plans, elevations of war memorials, 1921-26",
,Warialda,Court and Watch House,"1858, 1862, 1864, 1866",-,-,4332 [2/628],-,"Appendix A: Correspondence, c.1837-96",
,Warren,Proposed Trachyte,c.1922,-,73,18195 [9/5878],-,"Appendix F: Plans, elevations of war memorials, 1921-26",
,Warren,"Court House and Lock-up. Proposed plan, elevations and sections",-,-,-,4335 [Plan 885],Colonial Architect Plan No. 528/01,"Appendix B: Architectural Plans, 1848-1967",
,Warren,"Public School. Proposed plan, sections and elevations",1885,-,-,4335 [Plan 1049],Colonial Architect Plan No. SB1550/27,"Appendix B: Architectural Plans, 1848-1967",
,Warren,"Public School. Proposed additions.  Plan, elevations and section",1895,-,-,4335 [Plan 1051],Colonial Architect Plan No. SB1550/29,"Appendix B: Architectural Plans, 1848-1967",
,Warren,"Teacher’s Residence. Plan, elevations and sections",1885,-,-,4335 [Plan 1050],Colonial Architect Plan No. SB1550/28,"Appendix B: Architectural Plans, 1848-1967",
,Warwick,Court and Watch House,"1849, 1854-58",-,-,4332 [2/628],-,"Appendix A: Correspondence, c.1837-96",
,Warwick,Police Office,"1850, 1854-55",-,-,4332 [2/628],-,"Appendix A: Correspondence, c.1837-96",
,Waterfall,"Hospital (Nurse’s Home, Women’s Wards)",-,-,122(a)-122,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Watson’s Bay,Life Boat Shed,1855-58,-,-,4332 [2/630A],"Also Camp Cove, Port Jackson","Appendix A: Correspondence, c.1837-96",
,Watson’s Bay,Life boat slip,"1860-61, 1866",-,-,4332 [2/649],"Also Camp Cove, Port Jackson","Appendix A: Correspondence, c.1837-96",
,Watson’s Bay,"Lighthouse, South Head",1859,-,-,4332 [2/649],"Also Camp Cove, Port Jackson","Appendix A: Correspondence, c.1837-96",
,Watson’s Bay,Pilot Station,1855,-,-,4332 [2/630A],"Also Camp Cove, Port Jackson","Appendix A: Correspondence, c.1837-96",
,Watson’s Bay,Pilot’s Signal Station,1860,-,-,4332 [2/649],"Also Camp Cove, Port Jackson","Appendix A: Correspondence, c.1837-96",
,Watson’s Bay,Road to South Head,1848,-,-,4332 [2/636],"Also Camp Cove, Port Jackson","Appendix A: Correspondence, c.1837-96",
,Watson’s Bay,Water Police Station,1859,-,-,4332 [2/649],"Also Camp Cove, Port Jackson","Appendix A: Correspondence, c.1837-96",
,Wauchope,Court House and Police Station,-,-,77,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Weddin Mountains,Police Station and Barracks,1863-65,-,-,4332 [2/628],-,"Appendix A: Correspondence, c.1837-96",
,Wee Waa,Court House,-,-,71,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Wee Waa,Police Barracks,-,-,76,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Wee Waa,Post and Telegraph Office,-,-,76,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Wee Waa,Surgeon’s Quarters,-,-,76,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Wee Waa,Court and Watch House,"1859-60, 1866",-,-,4332 [2/630A],see also Namoi,"Appendix A: Correspondence, c.1837-96",
,Wee Waa,Police Office,1858,-,-,4332 [2/630A],see also Namoi,"Appendix A: Correspondence, c.1837-96",
,Wee Waa,Police Paddock,1860,-,-,4332 [2/630A],see also Namoi,"Appendix A: Correspondence, c.1837-96",
,Wee Waa,Police Station,1862-66,-,-,4332 [2/616],see also Namoi,"Appendix A: Correspondence, c.1837-96",
,Wellingrove,Court and Watch House,1851-56,-,-,4332 [2/596],(Mentioned transfer to Glen Innes),"Appendix A: Correspondence, c.1837-96",
,Wellington (New Zealand),Mail boxes,1857,-,-,4332 [2/630B],-,"Appendix A: Correspondence, c.1837-96",
,Wellington (NSW),Court and Watch House,1848-66,-,-,4332 [2/630B],-,"Appendix A: Correspondence, c.1837-96",
,Wellington (NSW),Crown Lands Office,1863,-,-,4332 [2/630B],-,"Appendix A: Correspondence, c.1837-96",
,Wellington (NSW),Gaol,1865-66,-,-,4332 [2/630B],-,"Appendix A: Correspondence, c.1837-96",
,Wellington (NSW),Government Buildings,1860-63,-,-,4332 [2/630B],-,"Appendix A: Correspondence, c.1837-96",
,Wentworth,Court and Watch House,1860-64,-,-,4332 [2/630A],-,"Appendix A: Correspondence, c.1837-96",
,Wentworth,Police Station,1862-63,-,-,4332 [2/630A],-,"Appendix A: Correspondence, c.1837-96",
,Wentworth,Telegraph Repeating Station,1865-66,-,-,4332 [2/630A],-,"Appendix A: Correspondence, c.1837-96",
,West Gosford,-,-,-,-,-,see Brisbane Water,"Appendix A: Correspondence, c.1837-96",
,White Cliffs,Police Station. Ground plan,1933,-,-,4335 [Plan 899],Colonial Architect Plan No. PC607/11,"Appendix B: Architectural Plans, 1848-1967",
,White Cliffs,Police Station. Ground plan,1933,-,-,4335 [Plan 900],Colonial Architect Plan No. PC607/12,"Appendix B: Architectural Plans, 1848-1967",
,White Cliffs,Police Station. Ground plan,1933,-,-,4335 [Plan 901],Colonial Architect Plan No. PC607/13 (B125),"Appendix B: Architectural Plans, 1848-1967",
,White Cliffs,"Police Station. Ground plan, elevations and sections",1896,-,-,4335 [Plan 902],Colonial Architect Plan No. B129. Signature of architect (Robertson) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,White Cliffs,Court House. Details of fittings.  Also pencil plan and elevations of Mr. W. Millers Cottage at White Cliffs offered to N.S.W. Government for Court House,-,-,-,4335 [Plan 890],Colonial Architect Plan No. PC607/2,"Appendix B: Architectural Plans, 1848-1967",
,White Cliffs,Court House. Pencil plan and elevation,-,-,-,4335 [Plan 892],Colonial Architect Plan No. PC607/4,"Appendix B: Architectural Plans, 1848-1967",
,White Cliffs,"Court House. Earth closet and screen.  Plan, elevation and section",-,-,-,4335 [Plan 894],Colonial Architect Plan No. PC607/6,"Appendix B: Architectural Plans, 1848-1967",
,White Cliffs,"Court House. Plan, elevations and section",May 1905,-,-,4335 [Plan 2005],Colonial Architect Plan No. 1549/05 (4398). Signature of architect (W.L. Vernon) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,White Cliffs,Police Station. Plan of prisoners yard,1896,-,-,4335 [Plan 889],Colonial Architect Plan No. PC607/1,"Appendix B: Architectural Plans, 1848-1967",
,White Cliffs,"Police Station. Plans, elevations and sections",January 1896,-,-,4335 [Plan 2006],Colonial Architect Plan No. 141/96. Signature of architect (L. Robertson) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,White Cliffs,"Police Station. Record Plan.  Plans, elevations and sections",1935,-,-,4335 [Plan 891],Colonial Architect Plan No. PC607/3 (B128),"Appendix B: Architectural Plans, 1848-1967",
,White Cliffs,"Police Station. Record Plan.  Plans, elevations and sections",1935,-,-,4335 [Plan 893],Colonial Architect Plan No. PC607/5 (B128),"Appendix B: Architectural Plans, 1848-1967",
,White Cliffs,Police Station. Plan and elevation,1933,-,-,4335 [Plan 895],Colonial Architect Plan No. PC607/7,"Appendix B: Architectural Plans, 1848-1967",
,White Cliffs,Police Station. Enlargement of garage,1937,-,-,4335 [Plan 896],Colonial Architect Plan No. PC607/8 (B127),"Appendix B: Architectural Plans, 1848-1967",
,White Cliffs,Police Station. Enlargement of garage,1937,-,-,4335 [Plan 897],Colonial Architect Plan No. PC607/9 (B127),"Appendix B: Architectural Plans, 1848-1967",
,White Cliffs,Police Station. Plan and elevation,1933,-,-,4335 [Plan 898],Colonial Architect Plan No. PC607/10 (B126),"Appendix B: Architectural Plans, 1848-1967",
,Wickham,Post Office,-,-,67,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Wickham,Lock-up,1882,-,-,4332 [2/8165],-,"Appendix A: Correspondence, c.1837-96",
,Wickham,"Police Station, painting and repairs",1896,-,-,4332 [2/8165],-,"Appendix A: Correspondence, c.1837-96",
,Wide Bay,Court House and Lock-up,1857-59,-,-,4332 [2/8151],-,"Appendix A: Correspondence, c.1837-96",
,Wilberforce,Church of England,1857-58,-,-,4332 [2/649],-,"Appendix A: Correspondence, c.1837-96",
,Wilberforce,Watch House,1861,-,-,4332 [2/649],-,"Appendix A: Correspondence, c.1837-96",
,Wilcannia,Soldiers’ Memorial,1923,-,47,18195 [9/5878],-,"Appendix F: Plans, elevations of war memorials, 1921-26",
,Willoughby,Domestic Science School,-,-,181(a)-181,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
